S.No,Tag UID,Cluster,Plant,Line,Plant SAP Code,Section,Section Number,Equipment Group,Equipment Subtype,Tag Name,Source Item ID,Path,Address,Description,Unit Of Measurement,Min,Max,UCL,LCL,Tag Type,Data Source,Variable Type,Location,Control Variable,Feeder Variable,Variable Group,Criticality,Sampling Interval,Process,Mechanical,E_I,Quality,Safety,Environmental,Cutoff,Make_Supplier,Delta Minimum,Historian Code,KPI
,W-NCJW1-KL1-O-COP-F_FT324A_SPM,West,NCJW,1,JF01,Kiln,1,Kiln+Regulators,Regulating Gate,F_FT324A_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:F_FT324A_SPM?Value,F_FT324::A_SPM,,KilnFeed-1.OP (Dosing Gate %),%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-KL1-F-CSP-F_FT336A_SPA,West,NCJW,1,JF01,Kiln,1,Kiln+Feeder,SFF,F_FT336A_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:F_FT336A_SPA?Value,F_FT336::A_SPA,,KilnFeed-2 SFM.SetPoint,TPH,0,250.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-KL1-F-PV-FKL_FT336A,West,NCJW,1,JF01,Kiln,1,Kiln+Feeder,SFF,FKL_FT336A,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:FKL_FT336A?Value,FKL_FT336A,,KilnFeed-2 SFM.PV,TPH,0,250.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-KL1-O-COP-F_FT336A_SPM,West,NCJW,1,JF01,Kiln,1,Kiln+Regulators,Regulating Gate,F_FT336A_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:F_FT336A_SPM?Value,F_FT336::A_SPM,,KilnFeed-2.OP (Dosing Gate %),%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-KL1-O-PV-FKL_AT348A,West,NCJW,1,JF01,Kiln,1,Kiln+PreHeater,Others,FKL_AT348A,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:FKL_AT348A?Value,FKL_AT348A,,Preheater Exit O2.ProcessValue (PV),%,0,25.0,,,Analog,Sensor,Others,Exit,,,PV,,3s,1.0,,,,,1.0,,,,,
,W-NCJW1-KL1-F-PV-462FM640_A01F01,West,NCJW,1,JF01,Kiln,1,Kiln,Others,462FM640_A01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462FM640_A01F01?Value,462::FM640::_A01::F01,,Kiln_FiringCoalFeeder-1.PV,TPH,0,10.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-KL1-R-COP-462SF631_U01S01,West,NCJW,1,JF01,Kiln,1,Kiln,Others,462SF631_U01S01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462SF631_U01S01?Value,462::SF631::_U01::S01,,Kiln_FiringCoalFeeder-1.OP (rotoscale rpm),%,0,100.0,,,Analog,Sensor,Speed,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-KL1-F-CSP-462SF631PID_SPA,West,NCJW,1,JF01,Kiln,1,Kiln,Others,462SF631PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462SF631PID_SPA?Value,462::SF631::PID_SPA,,Kiln_FiringCoalFeeder-2.SetPoint,TPH,0,13.27,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-KL1-F-PV-KILN_COAL_PETCOKE_FEED,West,NCJW,1,JF01,Kiln,1,Kiln,Others,KILN_COAL_PETCOKE_FEED,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:KILN_COAL_PETCOKE_FEED?Value,KILN_COAL_PETCOKE_FEED,,Kiln_FiringCoalFeeder-2.PV,TPH,0,13.27,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-KL1-R-COP-462SF631PID_SPM,West,NCJW,1,JF01,Kiln,1,Kiln,Others,462SF631PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462SF631PID_SPM?Value,462::SF631::PID_SPM,,Kiln_FiringCoalFeeder-2.OP (rotoscale rpm),%,0,100.0,,,Analog,Sensor,Speed,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-P-CSP-F49_SPD_CONTROL_SPA,West,NCJW,1,JF01,Cooler,1,Cooler,Others,F49_SPD_CONTROL_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:F49_SPD_CONTROL_SPA?Value,F49::_SPD_CONTROL_SPA,,KilnHoodDraftPID.SetPoint,mmWG,-25,25.0,,,Analog,Sensor,Pressure,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-P-PV-FCR_PT340,West,NCJW,1,JF01,Cooler,1,Cooler,Others,FCR_PT340,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:FCR_PT340?Value,FCR_PT340,,KilnHoodDraftPID.PV,mmWG,-25,25.0,,,Analog,Sensor,Pressure,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-R-COP-F49_SPD_CONTROL_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Dust Collector,Dust Filter Fan+ESP+Cooler Fan+Process Fan,F49_SPD_CONTROL_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:F49_SPD_CONTROL_SPM?Value,F49::_SPD_CONTROL_SPM,,KilnHoodDraftPID.OP (cooler esp fan rpm),%,0,100.0,,,Analog,Sensor,Speed,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-P-CSP-441FN305N02P01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler,Others,441FN305N02P01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN305N02P01_PID_SPA?Value,441::FN305::N02::P01::_PID_SPA,,Cooler_UnderGratePressurePID.SetPoint,mmWG,0,1000.0,,,Analog,Sensor,Pressure,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-P-PV-441CC100N09P01,West,NCJW,1,JF01,Cooler,1,Cooler,Others,441CC100N09P01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441CC100N09P01?Value,441::CC100::N09::P01,,Cooler_UnderGratePressurePID.PV,mmWG,0,1000.0,,,Analog,Sensor,Pressure,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN305N02P01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler,Others,441FN305N02P01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN305N02P01_PID_SPM?Value,441::FN305::N02::P01::_PID_SPM,,Cooler_UnderGratePressurePID.OP (cooler Strokes or speed),SPM,0,30.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-441FN300N01F01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN300N01F01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN300N01F01_PID_SPA?Value,441::FN300::N01::F01::_PID_SPA,,"Cooler Fan 1
Flow (SP)",m3/min,0,790.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-PV-441FN300N01F01,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN300N01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN300N01F01?Value,441::FN300::N01::F01,,Cooler Fan 1 Flow (PV),m3/min,0,790.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN300N01F01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Regulators,Damper+Cooler Fan+Process Fan,441FN300N01F01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN300N01F01_PID_SPM?Value,441::FN300::N01::F01::_PID_SPM,,"Cooler Fan 1
Flow (OutPut), Fan Speed or Damper %",%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-441FN305N01F01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN305N01F01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN305N01F01_PID_SPA?Value,441::FN305::N01::F01::_PID_SPA,,"Cooler Fan 2
Flow (SP)",m3/min,0,1890.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-PV-441FN305N01F01,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN305N01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN305N01F01?Value,441::FN305::N01::F01,,Cooler Fan 2 Flow (PV),m3/min,0,1890.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN305N01F01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Regulators,Damper+Cooler Fan+Process Fan,441FN305N01F01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN305N01F01_PID_SPM?Value,441::FN305::N01::F01::_PID_SPM,,"Cooler Fan 2
Flow (OutPut), Fan Speed or Damper %",%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-441FN310N01F01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN310N01F01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN310N01F01_PID_SPA?Value,441::FN310::N01::F01::_PID_SPA,,"Cooler Fan 3
Flow (SP)",m3/min,0,2080.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-PV-441FN310N01F01,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN310N01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN310N01F01?Value,441::FN310::N01::F01,,Cooler Fan 3 Flow (PV),m3/min,0,2080.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN310N01F01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Regulators,Damper+Cooler Fan+Process Fan,441FN310N01F01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN310N01F01_PID_SPM?Value,441::FN310::N01::F01::_PID_SPM,,"Cooler Fan 3
Flow (OutPut), Fan Speed or Damper %",%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-441FN315N01F01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN315N01F01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN315N01F01_PID_SPA?Value,441::FN315::N01::F01::_PID_SPA,,"Cooler Fan 4
Flow (SP)",m3/min,0,1990.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-PV-441FN315N01F01,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN315N01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN315N01F01?Value,441::FN315::N01::F01,,Cooler Fan 4 Flow (PV),m3/min,0,1990.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN315N01F01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Regulators,Damper+Cooler Fan+Process Fan,441FN315N01F01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN315N01F01_PID_SPM?Value,441::FN315::N01::F01::_PID_SPM,,"Cooler Fan 4
Flow (OutPut), Fan Speed or Damper %",%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-441FN320N01F01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN320N01F01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN320N01F01_PID_SPA?Value,441::FN320::N01::F01::_PID_SPA,,"Cooler Fan 5
Flow (SP)",m3/min,0,1860.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-PV-441FN320N01F01,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN320N01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN320N01F01?Value,441::FN320::N01::F01,,Cooler Fan 5 Flow (PV),m3/min,0,1860.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN320N01F01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Regulators,Damper+Cooler Fan+Process Fan,441FN320N01F01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN320N01F01_PID_SPM?Value,441::FN320::N01::F01::_PID_SPM,,"Cooler Fan 5
Flow (OutPut), Fan Speed or Damper %",%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-441FN325N01F01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN325N01F01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN325N01F01_PID_SPA?Value,441::FN325::N01::F01::_PID_SPA,,"Cooler Fan 6
Flow (SP)",m3/min,0,1790.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-PV-441FN325N01F01,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN325N01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN325N01F01?Value,441::FN325::N01::F01,,Cooler Fan 6 Flow (PV),m3/min,0,1790.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN325N01F01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Regulators,Damper+Cooler Fan+Process Fan,441FN325N01F01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN325N01F01_PID_SPM?Value,441::FN325::N01::F01::_PID_SPM,,"Cooler Fan 6
Flow (OutPut), Fan Speed or Damper %",%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-441FN330N01F01_PID_SPA,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN330N01F01_PID_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN330N01F01_PID_SPA?Value,441::FN330::N01::F01::_PID_SPA,,"Cooler Fan 7
Flow (SP)",m3/min,0,1610.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-PV-441FN330N01F01,West,NCJW,1,JF01,Cooler,1,Cooler+Fan,Cooler Fan+Process Fan,441FN330N01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN330N01F01?Value,441::FN330::N01::F01,,Cooler Fan 7 Flow (PV),m3/min,0,1610.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-O-COP-441FN330N01F01_PID_SPM,West,NCJW,1,JF01,Cooler,1,Cooler+Fan+Regulators,Damper+Cooler Fan+Process Fan,441FN330N01F01_PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:441FN330N01F01_PID_SPM?Value,441::FN330::N01::F01::_PID_SPM,,"Cooler Fan 7
Flow (OutPut), Fan Speed or Damper %",%,0,100.0,,,Analog,Sensor,Others,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-CL1-F-CSP-261WF150_A01F11_SPA,West,NCJW,1,JF01,Cooler,1,Cooler,Others,261WF150_A01F11_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:261WF150_A01F11_SPA?Value,261::WF150::_A01::F11::_SPA,,AFR PID SP,TPH,0,10.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-CL1-F-PV-261WF150_A01F01,West,NCJW,1,JF01,Cooler,1,Cooler,Others,261WF150_A01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:261WF150_A01F01?Value,261::WF150::_A01::F01,,AFR PID PV,TPH,0,10.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-CSP-DRMFC1300_SPA,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,DRMFC1300_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:DRMFC1300_SPA?Value,DRMFC1300::_SPA,,Weigh Feeder 1 Flow Set Point (TPH) Laterite/Cooper Slag,TPH,0,25.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-PV-D_FT1300,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,D_FT1300,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:D_FT1300?Value,D_FT1300,,Weigh Feeder 1 Flow Actual (TPH),TPH,0,25.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-COP-DRMFC1300_SPM,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,DRMFC1300_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:DRMFC1300_SPM?Value,DRMFC1300::_SPM,,Weigh Feeder 1 drive speed (RPM),TPH,0,25.0,,,Analog,Sensor,Flow,,,,Controller OP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-CSP-DRMFC1060_SPA,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,DRMFC1060_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:DRMFC1060_SPA?Value,DRMFC1060::_SPA,,Weigh Feeder 2 Flow Set Point (TPH) Low Grade/ Besalt,TPH,0,25.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-PV-D_FT1060,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,D_FT1060,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:D_FT1060?Value,D_FT1060,,Weigh Feeder 2 Flow Actual (TPH),TPH,0,25.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-COP-DRMFC1060_SPM,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,DRMFC1060_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:DRMFC1060_SPM?Value,DRMFC1060::_SPM,,Weigh Feeder 2 drive speed (RPM),TPH,0,25.0,,,Analog,Sensor,Flow,,,,Controller OP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-CSP-DRMFC1040_SPA,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,DRMFC1040_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:DRMFC1040_SPA?Value,DRMFC1040::_SPA,,Weigh Feeder 3 Flow Set Point (TPH) Sweetner,TPH,0,330.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-PV-D_FT1040,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,D_FT1040,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:D_FT1040?Value,D_FT1040,,Weigh Feeder 3 Flow Actual (TPH),TPH,0,330.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-COP-DRMFC1040_SPM,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,DRMFC1040_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:DRMFC1040_SPM?Value,DRMFC1040::_SPM,,Weigh Feeder 3 drive speed (RPM),TPH,0,330.0,,,Analog,Sensor,Flow,,,,Controller OP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-RM1-F-CSP-DRMFC1050_SPA,West,NCJW,1,JF01,Raw Mill,1,VRM+Feeder,Weigh Feeder,DRMFC1050_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:DRMFC1050_SPA?Value,DRMFC1050::_SPA,,Weigh Feeder 4 Flow Set Point (TPH) Bauxite,TPH,0,35.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
